DateTime,Cryptopunks,Azuki,Bored Ape Yacht Club,CloneX,Pudgy Penguins
2022-04-02,156001.46178743962,32228.367633986927,81312.60837188769,46634.599127659574,1756.9593212081845
2022-04-03,158327.72326332796,32229.060010752688,81865.75982319661,52710.00278285715,1737.8820513402998
2022-04-04,147985.3585068493,32378.135286786786,82811.58124889906,54501.00494949495,1806.649300884956
2022-04-05,148843.09058503402,32537.547196302818,83566.49579584775,54902.85776845637,1918.8725494205862
2022-04-06,148459.25236486486,32606.015429936306,83995.06041630529,56034.985714285714,1945.2789766233766
2022-04-07,148729.22671177267,32747.193726246605,84197.43445701357,56906.98522883296,1956.2450891615024
2022-04-08,148104.17740689655,32735.9181398641,84368.81416204986,57090.9476430206,1962.0226233992294
2022-04-09,148287.38029005524,32763.73388327722,85532.6507557426,57979.202740193294,1975.589143693584
2022-04-10,145322.08962852898,32727.21104830851,86648.80208296559,58571.69176369863,1991.555777031081
2022-04-11,140029.97453543308,32527.77519178455,86767.8190952805,59041.73853174603,2009.0815104350902
2022-04-12,140037.96849293564,32637.29404577088,87455.25600072648,59310.17902549575,2021.980119214586
2022-04-13,145518.8292260062,32738.270562747686,87768.34812002892,59845.98850255247,2018.7435090782124
2022-04-14,146185.35228177643,32836.49604681746,88318.13284594349,60350.95434608795,2018.6359879615698
2022-04-15,146485.94669230768,32828.42810356071,89818.57000984445,60562.13470420933,2023.5126967846031
2022-04-16,145501.46452978058,32725.99925392333,91952.20986344035,60910.11185100287,2026.5480556828597
2022-04-17,142506.92052032522,32639.793190569744,94906.59446529081,61568.69238938053,2036.333388495777
2022-04-18,137909.775442404,31745.45695630586,95117.26456927795,61937.97635757575,2025.2966206584454
2022-04-19,136655.76055932205,30986.168924961352,96506.39154282627,62071.230720443345,2036.7772345258377
2022-04-20,138237.55520202022,30743.666779363593,98145.02493068272,62139.11990214068,2018.2294504504505
2022-04-21,137925.5418469218,30635.21765715611,98203.65649548387,62721.78272727273,1991.5795691780088
2022-04-22,147753.43815602837,30463.75774204783,93733.79363054187,62707.453585131894,1991.2370166275848
2022-04-23,148079.44294642858,29563.963457647056,93817.39899414062,62332.65593786635,1981.698828009308
2022-04-24,147148.63571428572,29087.567327226345,93581.01761696243,61677.10598850575,1971.6684622611963
2022-04-25,144411.53635294116,28687.385836616457,92419.07073459716,61074.34987570622,1972.5662951399731
2022-04-26,144470.09966942147,28289.33212305923,91314.58601124765,61372.86030100334,1967.1562874624078
2022-04-27,151590.3357504521,28095.19540750916,91231.10079819894,61030.936073384444,1983.008796741174
2022-04-28,151312.08634751773,27586.526806360023,91780.89165693578,60442.08551631888,1979.6504340602285
2022-04-29,158937.98030303032,26904.510936802144,93989.79259323672,59908.8757374477,1979.4610203869356
2022-04-30,160390.41651639345,29264.436688051326,96198.14256774193,58229.31139318886,1987.1754549315212
2022-05-01,161572.91954545456,27819.35322700297,98613.89263721774,57223.68933399602,1946.1661240218164
2022-05-02,162125.28963123643,26096.45193937364,97812.48998746279,56808.711305623474,1927.6237747524751
2022-05-03,156342.2616204691,25870.412361817864,97224.46754928723,52509.64281285231,1980.4506964075383
2022-05-04,178153.776160221,25612.731218071243,97520.6849198556,50729.048273708126,1982.90143756747
2022-05-05,176439.2117647059,23810.79844967644,97269.98369021817,49884.60405902004,1841.3722440142637
2022-05-06,176335.68019774012,23079.104485275613,96698.64408589836,48576.125299944964,1779.0507769703745
2022-05-07,175814.8657507082,22560.057104327574,96166.46262285796,48096.07103448276,1743.0964905548997
2022-05-08,173155.02786703603,22318.96240615977,95760.78245557123,47422.86370648099,1717.6766361136572
2022-05-09,171798.59595687332,21442.532517391304,94348.50599235077,45632.709578252034,1696.6647134995144
2022-05-10,167640.07126315788,19108.06502514118,92717.40527208202,44416.771636536636,1653.5377477477477
2022-05-11,163802.36443298968,17806.82650070267,92148.40596518577,43510.39694820345,1605.428858942947
2022-05-12,159764.77876574307,17109.004609924545,90817.06787044121,42424.36589928058,1552.5515016088666
2022-05-13,147158.99512562813,16368.103535011387,89888.92701996735,41500.14977361776,1549.1118921852387
2022-05-14,145779.1036479592,16161.307199356175,89600.85342824887,40983.966519123336,1542.096200809121
2022-05-15,133409.8241356674,15998.084104763539,89406.61651895556,40607.829136383065,1523.6224425727412
2022-05-16,132306.85282608695,15850.33412850347,89209.96510643627,40276.30655498282,1487.3889252336448
2022-05-17,130933.87222222223,15700.373418539488,88945.68793543543,39678.97310609288,1455.6798337292162
2022-05-18,130517.81194260487,15594.712464360831,88748.02729111027,38992.8560982906,1459.8306329634197
2022-05-19,129829.38336263737,15531.519551556188,88005.54596078432,38526.1632408575,1441.9648478444633
2022-05-20,109295.14205882353,15434.155752085817,87051.57559833647,37973.73390611903,1501.7054425182482
2022-05-21,107349.37032015066,15310.536275470571,86641.32260520224,37405.67188265091,1516.588526499709
2022-05-22,103399.86865497075,15223.987676356008,87965.37889125496,36775.70722958529,1494.3099454875835
2022-05-23,102450.07484496123,15158.350933856842,87448.04631241811,36226.66544303798,1536.5298986058303
2022-05-24,101383.54013806707,15094.918632322495,86227.26661022121,35864.793564444444,1556.332665289256
2022-05-25,101179.42166666666,14948.524547455969,85968.71074384157,35518.26449640287,1565.8406115107914
2022-05-26,98134.53097457626,14839.099371246475,85828.98000332336,34421.57542949012,1580.7648445792267
2022-05-27,96163.45311850312,14685.636108500641,84412.4491895535,33923.9154124189,1534.0806702619413
2022-05-28,93897.56443736731,14612.852405567819,83065.60054759025,33467.79981921979,1534.4363050570962
2022-05-29,92017.9196196868,14473.47784348902,79801.22955060219,32757.577636887607,1501.2006402695872
2022-05-30,90350.42356659142,14315.566927312093,75770.44917424241,32558.04715199213,1509.2673840769905
2022-05-31,89119.99565701558,14063.884073121786,69517.60828454584,31790.110783505155,1472.1273629489604
2022-06-01,86700.75200892857,13596.589014610287,67986.24756627057,30613.903968850696,1447.5954911591355
2022-06-02,85976.94670454545,13291.175522213562,66417.14674681413,28861.89455207167,1380.5896963562755
2022-06-03,83169.24416475973,13026.079291767952,61909.97699315429,28140.709113636363,1261.7887346938776
2022-06-04,82683.13683486238,12228.537564923123,60741.545984315846,27572.111961583236,1261.516786102063
2022-06-05,81788.84539170506,11850.445866583543,60127.68279485746,27143.782138590203,1253.648361018826
2022-06-06,81130.84916859122,11655.873586114187,60223.11835624284,26685.462757793768,1251.36174405436
2022-06-07,80999.15262295083,11566.40922971997,60563.72413483797,26196.136263125387,1224.1682105263158
2022-06-08,79261.28307875895,11311.383081586697,60126.96621448212,25641.035910904255,1167.0244363636364
2022-06-09,79165.87599045345,10251.761623218184,59286.225063122925,24728.125807158507,1100.7644283837055
2022-06-10,78955.30350241545,10045.918684490085,58528.70872177839,24180.415385196375,1009.4669057104913
2022-06-11,77953.58075000001,10128.95992852767,58964.165527086385,23798.972476635514,982.9636475409836
2022-06-12,77258.30430730479,9753.52476610768,58254.781154440156,22690.850023980816,980.0957991513437
2022-06-13,75844.54915458937,9467.903349441256,54791.62897679325,20720.142982954545,947.6999583333333
2022-06-14,74502.20761904762,9411.2939626683,53085.145675496686,19397.730039630118,902.8857024793389
2022-06-15,72654.96366666666,9306.280462732919,51862.26991256477,18527.41857142857,890.6487752355317
2022-06-16,71833.03073232324,9383.624022591779,51405.450852090034,18059.31865203762,863.8138503401361
2022-06-17,70728.25531862746,9386.11266162094,50282.40239576651,17420.07758364312,833.4406973684211
2022-06-18,69224.66,9391.242952076678,48705.01258373205,16724.953644688645,828.441874180865
2022-06-19,78373.57465979381,9462.997472562944,47938.41682749921,16231.396910769232,831.2442480211082
2022-06-20,78758.39283269962,9476.991742038217,47251.76113160363,15786.449897836537,817.5764360313317
2022-06-21,79029.0308348794,9383.715663771713,47288.247169106195,15521.626748064324,823.4285676741131
2022-06-22,78367.92870300752,9224.933603739444,47623.55612264151,15372.53205234979,792.3063205128205
2022-06-23,78213.54949626866,9002.753926622196,47360.286385124484,15150.03645122681,760.6302208588957
2022-06-24,78174.07824175824,9264.26351970669,46770.98520866019,14915.490414414415,736.2146610169492
2022-06-25,78645.0402014652,9312.13761324586,45934.59078830261,14667.029485472156,719.2972296476306
2022-06-26,78627.00530054644,9225.45577922078,46063.10315874036,14510.033795620437,705.1676142131979
2022-06-27,78607.25307272727,9253.29137545245,46227.19290753099,14327.591880650994,698.5629456384324
